Date,Total Revenue,CloudCover,Temperature,WindSpeed,WeatherCode,KielerWeek,Holiday,Easter,Year,Weekday,Season,TempLevel,NextDayHoliday,Revenue prod 1,Revenue prod 2,Revenue prod 3,Revenue prod 4,Revenue prod 5,Revenue prod 6,Total Revenue MA7,Total Revenue MA30,IsSummer
2013-07-01,1269.24910731998,6.0,17.8375,15.0,20.0,False,True,0.0,2013.0,Monday,Summer,low,True,148.828353112183,535.856284785361,201.198425690037,65.890168799361,317.475874933038,0.0,1269.24910731998,1269.24910731998,True
2013-07-02,1430.0083973267333,3.0,17.3125,10.0,,False,True,0.0,2013.0,Tuesday,Summer,low,True,159.79375714468,546.780787392297,265.261253994438,74.5439171827412,383.628681612577,0.0,1349.6287523233568,1349.6287523233568,True
2013-07-03,1124.2748941201457,7.0,21.075,6.0,61.0,False,True,0.0,2013.0,Wednesday,Summer,medium,True,111.885593514353,427.343258749983,210.260241465493,69.2627280649987,305.523072325318,0.0,1274.510799588953,1274.510799588953,True
2013-07-04,1184.3095670178782,7.0,18.85,7.0,20.0,False,True,0.0,2013.0,Thursday,Summer,medium,True,168.864940979931,454.859641347987,190.686641378586,61.490175369225,308.408167942149,0.0,1251.9604914461843,1251.9604914461843,True
2013-07-05,1288.0230602120182,5.0,19.975,12.0,,False,True,0.0,2013.0,Friday,Summer,medium,True,171.280754117955,492.818804066088,181.644870215041,86.7598614451924,355.518770367742,0.0,1259.173005199351,1259.173005199351,True
2013-07-06,1540.5298975581647,0.0,18.9625,8.0,,False,True,0.0,2013.0,Saturday,Summer,medium,True,174.552359998476,631.906068038484,291.557959835153,80.6465768881107,361.866932797941,0.0,1306.0658205924867,1306.0658205924867,True
2013-07-07,1532.3729274131556,0.0,21.375,9.0,,False,True,0.0,2013.0,Sunday,Summer,medium,True,92.6377553788373,695.25572963054,279.665938833443,94.6039024817053,370.20960108863,0.0,1338.3954072811537,1338.3954072811537,True
2013-07-08,1203.9216946232323,0.0,22.725,10.0,5.0,False,True,0.0,2013.0,Monday,Summer,medium,True,135.500244042392,538.529249911711,195.158794309303,49.5000238633042,285.233382496522,0.0,1329.062919753047,1321.5861931989134,True
2013-07-09,1385.1123293468459,0.0,23.275,8.0,,False,True,0.0,2013.0,Tuesday,Summer,medium,True,136.048382778344,585.957264698849,245.808338509722,75.2089975834558,342.089345776475,0.0,1322.64919575592,1328.6446527709059,True
2013-07-10,1384.7659389826279,2.0,19.6875,13.0,5.0,False,True,0.0,2013.0,Wednesday,Summer,medium,True,135.132314289581,567.365764527953,265.109142544045,73.8056511129258,343.353066508123,0.0,1359.8622021648462,1334.2567813920782,True
2013-07-11,1326.8616313035402,0.0,21.375,12.0,5.0,False,True,0.0,2013.0,Thursday,Summer,medium,True,138.549392636714,569.109374584873,234.65807920749,68.6330279122302,315.911756962233,0.0,1380.2267827770834,1333.584495020393,True
2013-07-12,1354.717013539311,0.0,20.2875,7.0,,False,True,0.0,2013.0,Friday,Summer,medium,True,101.447511461298,600.267914678783,290.199097765019,0.0,362.802489634211,0.0,1389.7544903952682,1335.3455382303027,True
2013-07-13,1661.8613816349975,1.0,20.125,12.0,,False,True,0.0,2013.0,Saturday,Summer,medium,True,141.233309883732,747.140776382576,340.046632736531,74.2744737887665,359.166188843392,0.0,1407.0875595491016,1360.4621415691254,True
2013-07-14,1786.553765281086,5.0,17.6875,15.0,5.0,False,True,0.0,2013.0,Sunday,Summer,low,True,112.524365708762,777.048841669282,320.626816189556,115.271617188867,461.082124524619,0.0,1443.3991078159486,1390.8972575485511,True
2013-07-15,1481.963405858342,6.0,18.7375,12.0,,False,True,0.0,2013.0,Monday,Summer,medium,True,161.264677322182,596.995099998235,243.526401440661,99.4935305857439,380.68369651152,0.0,1483.1193522781073,1396.9683341025373,True
2013-07-16,1375.2489950082643,1.0,21.1875,10.0,,False,True,0.0,2013.0,Tuesday,Summer,medium,True,116.821358174215,558.797138274201,287.415464972525,91.7796976081033,320.43533597922,0.0,1481.7103045154527,1395.6108754091451,True
2013-07-17,1477.670323685468,5.0,22.5125,8.0,,False,True,0.0,2013.0,Wednesday,Summer,medium,True,150.572919592838,628.325718978073,301.777437970497,0.0,396.99424714406,0.0,1494.9823594730012,1400.4379017783408,True
2013-07-18,1389.7541924313455,1.0,23.25,11.0,5.0,False,True,0.0,2013.0,Thursday,Summer,medium,True,101.90072129658,647.822253705942,250.426586853024,89.2058404577425,300.398790118057,0.0,1503.9670110626878,1399.8443623701742,True
2013-07-19,1527.0763604307554,3.0,22.475,16.0,5.0,False,True,0.0,2013.0,Friday,Summer,medium,True,161.63511518654,646.788959790823,287.18828629416,62.0636098816993,369.400389277533,0.0,1528.5897749043227,1406.5407833207312,True
2013-07-20,1788.2360322693241,0.0,23.1875,8.0,,False,True,0.0,2013.0,Saturday,Summer,medium,True,134.328076682024,843.051280035386,394.765674710477,69.9369965472912,346.154004294146,0.0,1546.643296423512,1425.6255457681607,True
2013-07-21,1599.0157338099675,0.0,26.375,8.0,,False,True,0.0,2013.0,Sunday,Summer,high,True,66.2887578161955,815.942264195776,346.658236387984,82.6826868784511,287.443788531561,0.0,1519.8521490704952,1433.8822213891992,True
2013-07-22,1532.438770398039,0.0,26.1,9.0,,False,True,0.0,2013.0,Monday,Summer,high,True,131.223948997842,647.682748973215,297.712614415266,99.3353908053911,356.484067206325,0.0,1527.062915433309,1438.3620645259646,True
2013-07-23,1511.4861602726614,0.0,24.95,12.0,,False,True,0.0,2013.0,Tuesday,Summer,high,True,110.315246796665,691.043662205889,323.301431663341,70.5290024618065,316.29681714496,0.0,1546.525367613937,1441.5413730366904,True
2013-07-24,1579.1769061206978,3.0,24.075,11.0,,False,True,0.0,2013.0,Wednesday,Summer,medium,True,141.891908195545,698.340862077002,328.023102507764,83.5816326885927,327.339400651794,0.0,1561.0263079618271,1447.276186915191,True
2013-07-25,1498.84454154252,2.0,23.0875,9.0,,False,True,0.0,2013.0,Thursday,Summer,medium,True,167.701216640907,681.250768331783,280.809721012322,65.8902979709521,303.192537586556,0.0,1576.6106435491379,1449.338921100284,True
2013-07-26,1602.303163851975,3.0,27.2625,6.0,,False,True,0.0,2013.0,Friday,Summer,high,True,147.272084366206,718.016648132155,352.293883343641,53.1984562311259,331.522091778847,0.0,1587.357329752169,1455.2221612061182,True
2013-07-27,1758.881047587065,1.0,26.1625,10.0,,False,True,0.0,2013.0,Saturday,Summer,high,True,161.403357795112,855.619095347599,382.965879977945,0.0,358.892714466409,0.0,1583.1637605118465,1466.468786627635,True
2013-07-28,1755.8025904192964,4.0,24.8875,13.0,61.0,False,True,0.0,2013.0,Sunday,Summer,high,True,86.0791432446654,871.802546455837,360.096105223697,0.0,437.824795495097,0.0,1605.5618828846077,1476.8021367630513,True
2013-07-29,1581.050773432065,1.0,22.7875,10.0,,False,True,0.0,2013.0,Monday,Summer,medium,True,183.564164400591,672.50214523923,356.033434735079,0.0,368.951029057165,0.0,1612.5064547466116,1480.396917337845,True
2013-07-30,1600.8473293204288,5.0,21.075,13.0,21.0,False,True,0.0,2013.0,Tuesday,Summer,medium,True,132.111640117897,690.117757120039,354.531775116541,0.0,424.086156965952,0.0,1625.2723360391499,1484.4119310705978,True
2013-07-31,1560.649380745598,5.0,20.275,16.0,65.0,False,True,0.0,2013.0,Wednesday,Summer,medium,True,144.745431773143,667.842224335937,321.075920611583,0.0,426.985804024935,0.0,1622.6255466998498,1494.1252735181183,True
2013-08-01,1512.7538168934125,6.0,23.4,7.0,21.0,False,True,0.0,2013.0,Thursday,Summer,medium,True,157.854023011106,667.213719343287,304.830310037868,60.5614573229725,322.294307178179,0.0,1624.6125860356915,1496.8834541703409,True
2013-08-02,1537.074863033557,0.0,31.4375,7.0,,False,True,0.0,2013.0,Friday,Summer,high,True,117.359342094889,689.695100983376,379.526700654912,68.1222020855149,282.371517214865,0.0,1615.2942573473463,1510.6434531341213,True
2013-08-03,2022.0929783769382,4.0,23.3625,11.0,63.0,False,True,0.0,2013.0,Saturday,Summer,medium,False,186.027178770079,930.801703150498,454.705780795563,51.2749992906831,399.283316370115,0.0,1652.8959617458993,1538.5695668460899,True
2013-08-04,1879.1788638421608,3.0,23.05,8.0,,False,False,0.0,2013.0,Sunday,Summer,medium,False,104.708216687715,862.752429028985,382.85648750844,67.1568816245378,461.704848992483,0.0,1670.5211436634515,1558.2747603004282,True
2013-08-05,1353.5850885584,0.0,25.8,10.0,,False,False,0.0,2013.0,Monday,Summer,high,False,146.775309890073,520.947179812455,331.615355447409,0.0,354.247243408463,0.0,1638.0260458243563,1552.0432666671027,True
2013-08-06,1486.208899835055,5.0,22.225,13.0,,False,False,0.0,2013.0,Tuesday,Summer,medium,False,131.956277381283,498.920948322354,344.104806694018,69.705360420462,441.521507016938,0.0,1621.6491273264458,1550.5044657478325,True
